0;Суши;https://sc01.chocofood.kz/hermes/category/21eeaa73-d5c9-45a5-97e1-7be3b2e1a553
1;Фастфуд;https://sc01.chocofood.kz/hermes/category/81cbacf5-2da8-4141-a97d-afe161a2d9f2
2;Курочка;https://sc01.chocofood.kz/hermes/category/adafe68a-5775-4ae1-820c-ad241cbc936f
3;Донер;https://sc01.chocofood.kz/hermes/category/b4e5fb99-7b43-4dc5-8f9e-8ecabd83282f
4;Бургеры;https://sc01.chocofood.kz/hermes/category/c69a13d2-cd30-4761-972c-b80c5814d9d2
5;Пицца;https://sc01.chocofood.kz/hermes/category/0ea44eb2-5e1f-47d1-8089-9187f2e0f129
6;Ночь;https://sc01.chocofood.kz/hermes/category/004243c0-e06a-4aa5-be77-5a4712fb0136
7;Лучшая цена;https://sc01.chocofood.kz/hermes/category/614db3df-ebad-48a3-b99c-e669aed9137a
8;Восточная;https://sc01.chocofood.kz/hermes/category/763e6d6a-120c-4aa3-9616-cbe57586f2e5
9;Европейская;https://sc01.chocofood.kz/hermes/category/3685cd8d-d0e7-44bf-9ff3-38c89e244bb0
10;Азиатская;https://sc01.chocofood.kz/hermes/category/a5329226-bffd-4c6c-8493-70a0060dc0f7
11;Много мяса;https://sc01.chocofood.kz/hermes/category/c8b2e961-97e7-46cd-a5cd-e97408cfde1f
12;Кофе;https://sc01.chocofood.kz/hermes/category/54763fd7-889d-42c4-9211-9097e2b30661
13;Грузинская;https://sc01.chocofood.kz/hermes/category/8d9ad641-357e-4695-aeaf-22a21713e756
14;Завтрак;https://sc01.chocofood.kz/hermes/category/091b9aca-a677-4ef3-9d0a-e1af1e795c03
15;Цветы;https://sc01.chocofood.kz/hermes/category/7069dcab-4551-44ed-ba01-832d2ed41f18
16;ПП;https://sc01.chocofood.kz/hermes/category/dd2888f1-5baf-4c33-a1a1-b95393943851
17;Десерты;https://sc01.chocofood.kz/hermes/category/6fb1ccb6-e5b3-44c5-a852-d0289b6ea58b
18;Продукты;https://sc01.chocofood.kz/hermes/category/9dea1a19-f200-4885-b8cc-e827a9b979e1
